**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 100
0.0,**** Simulation starts!! ****
198.0, elevID,1,  pos,-2,  cmd, goto,-2
199.0, elevID,0,  pos,-2,  cmd, goto,-2
199.0, elevID,1,  pos,-2,  cmd, goto,-2
200.0, elevID,0,  pos,-2,  cmd, goto,-2
200.0, elevID,1,  pos,-2,  cmd, goto,-2
201.0, elevID,0,  pos,-2,  cmd, goto,-2
201.0, elevID,1,  pos,-2,  cmd, goto,-2
202.0, elevID,0,  pos,-2,  cmd, goto,-2
202.0, elevID,1,  pos,-2,  cmd, goto,-2
203.0, elevID,0,  pos,-2,  cmd, goto,-2
203.0, elevID,1,  pos,-2,  cmd, goto,-2
204.0, elevID,0,  pos,-2,  cmd, goto,-2
204.0, elevID,1,  pos,-2,  cmd, goto,-2
205.0, elevID,0,  pos,-2,  cmd, goto,-2
205.0, elevID,1,  pos,-2,  cmd, goto,-2
206.0,Elevator call,205.9895199338651,-1,0,1,0, got allocated to elevator, 0
206.0, elevID,0,  pos,-2,  cmd, goto,-2
206.0, elevID,1,  pos,-2,  cmd, goto,-2
207.0, elevID,0,  pos,-2,  cmd, goto,-2
207.0, elevID,1,  pos,-2,  cmd, goto,-2
208.0, elevID,0,  pos,-2,  cmd, goto,-2
208.0, elevID,1,  pos,-2,  cmd, goto,-2
209.0, elevID,0,  pos,-2,  cmd, goto,-2
209.0, elevID,1,  pos,-2,  cmd, goto,-2
210.0, elevID,0,  pos,-2,  cmd, goto,-2
210.0, elevID,1,  pos,-2,  cmd, goto,-2
211.0, elevID,0,  pos,-2,  cmd, goto,-2
211.0, elevID,1,  pos,-2,  cmd, goto,-2
212.0, elevID,0,  pos,-2,  cmd, goto,-2
212.0, elevID,1,  pos,-2,  cmd, goto,-2
213.0, elevID,0,  pos,-2,  cmd, goto,-2
213.0, elevID,1,  pos,-2,  cmd, goto,-2
214.0, elevID,0,  pos,-2,  cmd, goto,-2
214.0, elevID,1,  pos,-2,  cmd, goto,-2
215.0, elevID,0,  pos,-2,  cmd, goto,-2
215.0, elevID,1,  pos,-2,  cmd, goto,-2
216.0, elevID,0,  pos,-2,  cmd, goto,-2
216.0, elevID,1,  pos,-2,  cmd, goto,-2
217.0, elevID,0,  pos,-2,  cmd, goto,-2
